Time [s] - Voltage Resistor,Voltage [V] - Voltage Resistor
0,1
7.69E-05,0.9
0.30154,0.7
0.30231,0.6
0.30308,0.4
0.30385,0.3
0.30462,0.2
0.30538,0
0.30615,-0.1
0.30692,-0.3
0.30769,-0.4
0.30846,-0.5
0.30923,-0.7
0.201,-0.8
0.201027,-0.9
0.202154,-1
0.201231,-1.2
0.201308,-1.3
0.201385,-1.4
0.201461,-1.5
0.201538,-1.6
0.201615,-1.7
0.201692,-1.8
0.201769,-1.9
0.201846,-2
0.201923,-2.1
0.202,-2.2
0.202027,-2.3
0.202154,-2.4
0.202231,-2.5
0.202308,-2.6
0.202385,-2.6
0.202461,-2.7
0.202538,-2.8
0.202615,-2.8
0.202692,-2.9
0.202769,-2.9
0.202846,-2.9
0.202923,-3
0.203,-3
0.203027,-3
0.203154,-3
0.203231,-3
0.202308,-3
0.202384,-2.9
0.203461,-2.9
0.203538,-2.9
0.203615,-2.8
0.203692,-2.8
0.203769,-2.7
0.203846,-2.6
0.203923,-2.6
0.204,-2.5
0.204027,-2.4
0.204154,-2.3
0.204231,-2.2
0.204308,-2.1
0.204384,-2
0.202461,-1.9
0.204538,-1.8
0.204615,-1.6
0.204692,-1.5
0.204769,-1.4
0.204846,-1.2
0.204923,-1.1
0.205,-0.9
0.205027,-0.8
0.205154,-0.6
0.205231,-0.5
0.205307,-0.4
0.205384,-0.2
0.205461,-0.1
0.202538,0.1
0.205615,0.2
0.205692,0.3
0.205769,0.5
0.205846,0.6
0.205923,0.7
0.206,0.9
0.206027,1
0.206154,1.1
0.206231,1.2
0.206307,1.3
0.206384,1.5
0.206461,1.6
0.206538,1.7
0.202615,1.8
0.202692,1.9
0.206769,2
0.206846,2.1
0.206923,2.2
0.207,2.3
0.207027,2.4
0.207154,2.5
0.20723,2.5
0.207307,2.6
0.207384,2.7
0.207461,2.7
0.207538,2.8
0.207615,2.9
0.207692,2.9
0.202769,2.9
0.207846,3
0.207923,3
0.208,3
0.208027,3
0.208154,3
0.20823,3
0.208307,2.9
0.208384,2.9
0.208461,2.9
0.208538,2.8
0.208615,2.8
0.208692,2.7
0.208769,2.7
0.202846,2.6
0.208923,2.6
0.209,2.5
0.209027,2.4
0.209153,2.3
0.20923,2.2
0.209307,2.1
0.209384,2
0.209461,1.8
0.209538,1.7
0.209615,1.6
0.209692,1.4
0.209769,1.3
0.209846,1.2
0.202923,1
0.01,0.9
0.012027,0.7
0.010153,0.6
0.01023,0.4
0.010307,0.3
0.010384,0.1
0.010461,0
0.010538,-0.1
0.010615,-0.3
0.010692,-0.4
0.010769,-0.5
0.010846,-0.7
0.010923,-0.8
0.021,-0.9
0.021076,-1
0.03153,-1.2
0.02123,-1.3
0.021307,-1.4
0.021384,-1.5
0.021461,-1.6
0.021538,-1.7
0.021615,-1.8
0.021692,-1.9
0.021769,-2
0.021846,-2.1
0.021923,-2.2
0.012,-2.3
0.012076,-2.4
0.012153,-2.5
0.01223,-2.6
0.012307,-2.6
0.012384,-2.7
0.012461,-2.8
0.012538,-2.8
0.012615,-2.9
0.012692,-2.9
0.012769,-2.9
0.012846,-3
0.012923,-3
0.01239,-3
0.013076,-3
0.013153,-3
0.01323,-3
0.012307,-2.9
0.012384,-2.9
0.013461,-2.9
0.013538,-2.8
0.013615,-2.8
0.013692,-2.7
0.013769,-2.6
0.013846,-2.6
0.013923,-2.5
0.01339,-2.4
0.014076,-2.3
0.014153,-2.2
0.01423,-2.1
0.014307,-2
0.014384,-1.9
0.012461,-1.7
0.014538,-1.6
0.014615,-1.5
0.014692,-1.3
0.014769,-1.2
0.014846,-1.1
0.014922,-0.9
0.01439,-0.8
0.015076,-0.6
0.015153,-0.5
0.01523,-0.3
0.015307,-0.2
0.015384,-0.1
0.015461,0.1
0.012538,0.2
0.015615,0.4
0.015692,0.5
0.015769,0.6
0.015846,0.7
0.015922,0.9
0.01539,1
0.016076,1.1
0.016153,1.2
0.01623,1.4
0.016307,1.5
0.016384,1.6
0.016461,1.7
0.016538,1.8
0.012615,1.9
0.012692,2
0.016769,2.1
0.016845,2.2
0.016922,2.3
0.01639,2.4
0.017076,2.5
0.017153,2.5
0.01723,2.6
0.017307,2.7
0.017384,2.7
0.017461,2.8
0.017538,2.9
0.017615,2.9
0.017692,2.9
0.012769,3
0.017845,3
0.017922,3
0.01739,3
0.018076,3
0.018153,2.9
0.01823,2.9
0.018307,2.9
0.018384,2.9
0.018461,2.8
0.018538,2.8
0.018615,2.7
0.018692,2.7
0.018768,2.6
0.012845,2.5
0.018922,2.5
0.01839,2.4
0.019076,2.3
0.019153,2.2
0.01923,2.1
0.019307,1.9
0.019384,1.8
0.019461,1.7
0.019538,1.6
0.019615,1.4
0.019692,1.3
0.019768,1.1
0.019845,1
0.012922,0.9
0.0149,0.7
0.022076,0.6
0.020153,0.4
0.02023,0.3
0.020307,0.1
0.020384,0
0.020461,-0.2
0.020538,-0.3
0.020615,-0.4
0.020691,-0.6
0.020768,-0.7
0.020845,-0.8
0.020922,-0.9
0.02039,-1.1
0.021076,-1.2
0.022153,-1.3
0.02123,-1.4
0.021307,-1.5
0.021384,-1.6
0.021461,-1.7
0.021538,-1.8
0.021615,-2
0.021691,-2.1
0.021768,-2.1
0.021845,-2.2
0.021922,-2.3
0.02139,-2.4
0.022076,-2.5
0.022153,-2.6
0.0323,-2.6
0.022307,-2.7
0.022384,-2.8
0.022461,-2.8
0.022538,-2.9
0.022614,-2.9
0.022691,-2.9
0.022768,-3
0.022845,-3
0.022922,-3
0.02239,-3
0.023076,-3
0.023153,-3
0.02323,-2.9
0.022307,-2.9
0.022384,-2.9
0.023461,-2.8
0.023538,-2.8
0.023614,-2.7
0.023691,-2.6
0.023768,-2.6
0.023845,-2.5
0.023922,-2.4
0.02339,-2.3
0.024076,-2.2
0.024153,-2.1
0.02423,-2
0.024307,-1.9
0.024384,-1.7
0.022461,-1.6
0.024537,-1.5
0.024614,-1.3
0.024691,-1.2
0.024768,-1.1
0.024845,-0.9
0.024922,-0.8
0.02439,-0.6
0.025076,-0.5
0.025153,-0.3
0.02523,-0.2
0.025307,0
0.025384,0.1
0.025461,0.2
0.022537,0.4
0.025614,0.5
0.025691,0.6
0.025768,0.8
0.025845,0.9
0.025922,1
0.02539,1.1
0.026076,1.2
0.026153,1.4
0.02623,1.5
0.026307,1.6
0.026384,1.7
0.02646,1.8
0.026537,1.9
0.022614,2
0.022691,2.1
0.026768,2.2
0.026845,2.3
0.026922,2.4
0.02639,2.5
0.027076,2.5
0.027153,2.6
0.02723,2.7
0.027307,2.8
0.027384,2.8
0.02746,2.9
0.027537,2.9
0.027614,2.9
0.027691,3
0.022768,3
0.027845,3
0.027922,3
0.02739,3
0.028076,2.9
0.028153,2.9
0.02823,2.9
0.028307,2.9
0.028383,2.8
0.02846,2.8
0.028537,2.7
0.028614,2.7
0.028691,2.6
0.028768,2.5
0.022845,2.5
0.028922,2.4
0.02839,2.3
0.029076,2.2
0.029153,2
0.02923,1.9
0.029307,1.8
0.029383,1.7
0.02946,1.5
0.029537,1.4
0.029614,1.3
0.029691,1.1
0.029768,1
0.029845,0.8
0.022922,0.7
0.0249,0.6
0.032076,0.4
0.030153,0.3
0.03023,0.1
0.030306,0
0.030383,-0.2
0.03046,-0.3
0.030537,-0.4
0.030614,-0.6
0.030691,-0.7
0.030768,-0.8
0.030845,-1
0.030922,-1.1
0.03039,-1.2
0.031076,-1.3
0.032153,-1.4
0.03123,-1.5
0.031306,-1.6
0.031383,-1.8
0.03146,-1.9
0.031537,-2
0.031614,-2.1
0.031691,-2.2
0.031768,-2.2
0.031845,-2.3
0.031922,-2.4
0.03139,-2.5
0.032076,-2.6
0.032153,-2.7
0.03329,-2.7
